stock_code,sector
141000,특수 목적용 기계 제조업
122350,자동차 신품 부품 제조업
065570,통신 및 방송 장비 제조업
032280,도로 화물 운송업
000250,의약품 제조업
038500,기타 비금속 광물제품 제조업
038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
006730,일반 및 생활 숙박시설 운영업
148150,전자부품 제조업
258830,의료용 기기 제조업
352090,플라스틱제품 제조업
012790,의약품 제조업
037760,1차 철강 제조업
050890,통신 및 방송 장비 제조업
101240,기초 화학물질 제조업
149950,전자부품 제조업
050860,특수 목적용 기계 제조업
143160,통신 및 방송 장비 제조업
289010,"서적, 잡지 및 기타 인쇄물 출판업"
114840,기타 화학제품 제조업
013310,자동차 신품 부품 제조업
260660,의료용품 및 기타 의약 관련제품 제조업
140670,전자부품 제조업
123750,그외 기타 운송장비 제조업
129890,컴퓨터 및 주변장치 제조업
102120,반도체 제조업
019990,일반 목적용 기계 제조업
095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
056190,특수 목적용 기계 제조업
098660,봉제의복 제조업
050760,플라스틱제품 제조업
058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
195990,특수 목적용 기계 제조업
003800,가구 제조업
088800,통신 및 방송 장비 제조업
312610,일차전지 및 이차전지 제조업
172670,반도체 제조업
044990,전자부품 제조업
383310,기타 화학제품 제조업
179290,의료용 기기 제조업
265560,자동차 신품 부품 제조업
014940,일반 목적용 기계 제조업
122990,전자부품 제조업
079000,플라스틱제품 제조업
073560,"도축, 육류 가공 및 저장 처리업"
074600,유리 및 유리제품 제조업
101160,전자부품 제조업
203450,통신 및 방송 장비 제조업
086390,특수 목적용 기계 제조업
024800,육상 여객 운송업
044960,기타 전문 도매업
053350,소프트웨어 개발 및 공급업
452400,자동차 신품 부품 제조업
063760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
091120,전자부품 제조업
277410,기타 식품 제조업
361390,통신 및 방송 장비 제조업
159580,생활용품 도매업
033320,기계장비 및 관련 물품 도매업
026040,귀금속 및 장신용품 제조업
382480,특수 목적용 기계 제조업
311320,전자부품 제조업
018120,알코올음료 제조업
086060,산업용 농·축산물 및 동·식물 도매업
036890,특수 목적용 기계 제조업
192250,소프트웨어 개발 및 공급업
102370,상품 중개업
089010,기타 화학제품 제조업
123410,자동차 신품 부품 제조업
222040,기타 식품 제조업
241710,기타 화학제품 제조업
033290,"섬유, 의복, 신발 및 가죽제품 소매업"
282880,특수 목적용 기계 제조업
121850,플라스틱제품 제조업
108230,특수 목적용 기계 제조업
131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
081150,1차 비철금속 제조업
214450,의료용품 및 기타 의약 관련제품 제조업
037070,가정용 기기 제조업
038950,통신 및 방송 장비 제조업
051380,기계장비 및 관련 물품 도매업
237750,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
067310,반도체 제조업
039340,텔레비전 방송업
017890,기타 화학제품 제조업
256150,일반 목적용 기계 제조업
045100,"건축기술, 엔지니어링 및 관련 기술 서비스업"
058450,"영화, 비디오물, 방송프로그램 제작 및 배급업"
041440,특수 목적용 기계 제조업
138360,특수 목적용 기계 제조업
011080,봉제의복 제조업
064240,기타 전문 도매업
061250,의약품 제조업
084110,의약품 제조업
121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
208850,기타 전기장비 제조업
282330,종합 소매업
012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
071970,일반 목적용 기계 제조업
060980,기타산업군
011200,해상 운송업
035000,광고업
001940,1차 철강 제조업
066570,통신 및 방송 장비 제조업
051910,기초 화학물질 제조업
010060,지주회사
034730,기타산업군
011790,기타 화학제품 제조업
001510,금융 지원 서비스업
007980,봉제의복 제조업
024070,플라스틱제품 제조업
035250,유원지 및 기타 오락관련 서비스업
012200,일반 목적용 기계 제조업
001140,도로 화물 운송업
011780,기초 화학물질 제조업
092440,특수 목적용 기계 제조업
000270,자동차용 엔진 및 자동차 제조업
002350,고무제품 제조업
006650,기초 화학물질 제조업
004890,1차 철강 제조업
192650,전자부품 제조업
003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
071840,가전제품 및 정보통신장비 소매업
090370,봉제의복 제조업
003000,의약품 제조업
001270,금융 지원 서비스업
014710,수산물 가공 및 저장 처리업
016360,금융 지원 서비스업
004380,일반 목적용 기계 제조업
001820,전자부품 제조업
007860,지주회사
017550,특수 목적용 기계 제조업
126720,건물설비 설치 공사업
009270,봉제의복 제조업
002700,기계장비 및 관련 물품 도매업
122900,상품 종합 도매업
010780,"시멘트, 석회, 플라스터 및 그 제품 제조업"
012750,"경비, 경호 및 탐정업"
123700,자동차 신품 부품 제조업
078520,기타 화학제품 제조업
484870,특수 목적용 기계 제조업
006740,"골판지, 종이 상자 및 종이용기 제조업"
271560,기타 식품 제조업
095720,초등 교육기관
000910,"시멘트, 석회, 플라스터 및 그 제품 제조업"
214320,광고업
005950,기초 화학물질 제조업
194370,"가죽, 가방 및 유사제품 제조업"
089590,항공 여객 운송업
088790,기타 전문 도매업
100250,플라스틱제품 제조업
051630,플라스틱제품 제조업
281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
009070,도로 화물 운송업
033780,담배 제조업
024720,기타산업군
001420,자동차 신품 부품 제조업
055490,플라스틱제품 제조업
078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
069260,기타 화학제품 제조업
022100,"건축기술, 엔지니어링 및 관련 기술 서비스업"
047050,상품 중개업
036460,연료용 가스 제조 및 배관공급업
002200,"골판지, 종이 상자 및 종이용기 제조업"
034830,신탁업 및 집합투자업
047810,"항공기,우주선 및 부품 제조업"
128940,의약품 제조업
009180,기타 운송관련 서비스업
300720,"시멘트, 석회, 플라스터 및 그 제품 제조업"
130660,"건축기술, 엔지니어링 및 관련 기술 서비스업"
272210,전자부품 제조업
012450,"항공기,우주선 및 부품 제조업"
079430,가구 제조업
012330,자동차 신품 부품 제조업
005440,외식/유통
057050,무점포 소매업
006060,상품 종합 도매업
000850,특수 목적용 기계 제조업
004800,화학/지주
005010,1차 철강 제조업
054620,기타산업군
023460,기타산업군
290120,자동차 신품 부품 제조업
078150,특수 목적용 기계 제조업
046440,소프트웨어 개발 및 공급업
151860,자동차 차체나 트레일러 제조업
060720,전자부품 제조업
036560,일반 목적용 기계 제조업
225190,사진장비 및 광학기기 제조업
332570,전자부품 제조업
950110,소프트웨어 개발 및 공급업
317240,기타 화학제품 제조업
215000,소프트웨어 개발 및 공급업
121600,기타 화학제품 제조업
405920,음·식료품 및 담배 도매업
137080,특수 목적용 기계 제조업
091590,건물 건설업
253590,특수 목적용 기계 제조업
212560,자동차 신품 부품 제조업
351320,특수 목적용 기계 제조업
106520,사진장비 및 광학기기 제조업
234690,의약품 제조업
040160,소프트웨어 개발 및 공급업
068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
008830,특수 목적용 기계 제조업
108380,선박 및 보트 건조업
096350,"구조용 금속제품, 탱크 및 증기발생기 제조업"
131220,기계장비 및 관련 물품 도매업
025950,토목 건설업
079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
219550,생활용품 도매업
105740,일반 목적용 기계 제조업
066670,전자부품 제조업
193250,전자부품 제조업
093520,기계장비 및 관련 물품 도매업
118990,자동차 신품 부품 제조업
095500,플라스틱제품 제조업
206640,의료용품 및 기타 의약 관련제품 제조업
099430,기초 의약물질 제조업
019010,종합 소매업
099390,소프트웨어 개발 및 공급업
121800,통신 및 방송 장비 제조업
086670,일반 목적용 기계 제조업
093190,컴퓨터 및 주변장치 제조업
072950,전자부품 제조업
009300,의약품 제조업
024950,생활용품 도매업
042600,전자부품 제조업
046890,반도체 제조업
086710,기타 화학제품 제조업
015750,자동차 신품 부품 제조업
017510,기타 금속 가공제품 제조업
115570,플라스틱제품 제조업
065350,가정용 기기 제조업
416180,자동차 신품 부품 제조업
187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
222800,전자부품 제조업
356890,소프트웨어 개발 및 공급업
352480,기타 화학제품 제조업
115530,전자부품 제조업
054800,기타 전문 서비스업
101390,전자부품 제조업
001540,의약품 제조업
053800,소프트웨어 개발 및 공급업
085810,소프트웨어 개발 및 공급업
069510,영상 및 음향기기 제조업
044780,특수 목적용 기계 제조업
357230,기타 식품 제조업
021080,신탁업 및 집합투자업
230240,통신 및 방송 장비 제조업
950130,의료용품 및 기타 의약 관련제품 제조업
205100,소프트웨어 개발 및 공급업
333620,기타 전기장비 제조업
058630,소프트웨어 개발 및 공급업
123040,자동차 신품 부품 제조업
036000,"서적, 잡지 및 기타 인쇄물 출판업"
053280,무점포 소매업
900300,기타산업군
192410,통신 및 방송 장비 제조업
039830,전문디자인업
036220,의료용 기기 제조업
273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
066590,자동차 신품 부품 제조업
018620,의약품 제조업
396470,특수 목적용 기계 제조업
104830,기초 화학물질 제조업
348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
112040,소프트웨어 개발 및 공급업
136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
036200,특수 목적용 기계 제조업
011320,자동차 신품 부품 제조업
088340,소프트웨어 개발 및 공급업
048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
089850,소프트웨어 개발 및 공급업
023410,"시멘트, 석회, 플라스터 및 그 제품 제조업"
084370,특수 목적용 기계 제조업
067920,기타 정보 서비스업
073490,통신 및 방송 장비 제조업
272290,전자부품 제조업
067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
001840,건물 건설업
064290,특수 목적용 기계 제조업
101930,선박 및 보트 건조업
