stock_code,rcept_dt,n_days
017960,2020-02-13,21
017960,2021-02-26,21
017960,2022-03-15,21
017960,2023-03-14,21
017960,2024-02-28,21
017960,2025-02-24,21
018120,2014-02-07,21
018120,2015-02-05,21
018120,2016-02-12,21
018120,2017-02-17,21
018120,2018-02-19,21
018120,2019-02-19,21
018120,2020-02-21,21
018120,2021-02-18,21
018120,2022-02-17,21
018120,2023-02-16,21
018120,2024-02-14,21
018120,2025-02-11,21
018260,2015-01-27,21
018260,2016-01-22,21
018260,2017-01-23,21
018260,2018-02-02,21
018260,2019-01-24,21
018260,2020-01-30,21
018260,2021-01-28,21
018260,2022-01-27,21
018260,2023-01-26,21
018260,2024-01-25,21
018260,2025-01-23,21
018310,2014-02-14,21
018310,2015-02-12,21
018310,2016-02-11,21
018310,2017-02-16,21
018310,2018-02-12,21
018310,2019-02-14,21
018310,2020-02-13,21
018310,2022-03-02,21
018310,2023-02-28,21
018310,2024-02-29,21
018310,2025-02-25,21
018470,2014-02-06,21
018470,2016-02-04,21
018470,2017-02-02,21
018470,2018-02-05,21
018500,2013-06-03,21
018500,2014-06-03,21
018500,2015-06-11,21
