stock_code,rcept_dt,sector,per_share_common,yield_common,total_amount,div_amount_rank,month,is_year_end
103140,2013-02-27,1차 비철금속 제조업,450.0,1.4,12605656950.0,0.7755474452554745,2,0
103140,2014-02-21,1차 비철금속 제조업,450.0,1.6,12605656950.0,0.7833020637898687,2,0
9150,2025-01-24,,1800.0,1.4,136127727700.0,0.7380952380952381,1,0
9150,2024-01-31,,1150.0,0.8,87022015200.0,0.7,1,0
9150,2023-01-25,,2100.0,1.6,158791902700.0,0.7358490566037735,1,0
9150,2022-01-26,,2100.0,1.1,158791902700.0,0.7464788732394366,1,0
9150,2021-01-27,,1400.0,0.8,105908827700.0,0.7972972972972973,1,0
9150,2020-01-29,,1100.0,0.9,83244652700.0,0.7951807228915663,1,0
9150,2019-01-29,,1000.0,1.0,75689927700.0,0.7985074626865671,1,0
9150,2018-01-30,,750.0,0.8,56803115200.0,0.7371134020618557,1,0
9150,2017-01-24,,500.0,1.0,37916302700.0,0.5919540229885057,1,0
9150,2016-01-28,,500.0,0.8,37916302700.0,0.5903614457831325,1,0
9150,2015-01-29,,750.0,1.3,58303115200.0,0.6890243902439024,1,0
9150,2014-01-27,,750.0,1.0,58296740200.0,0.6619718309859155,1,0
9150,2013-01-30,,1000.0,1.0,77670227700.0,0.7348484848484849,1,0
140,2021-03-11,,400.0,2.6,8757590700.0,0.7442244224422442,3,0
140,2020-03-05,,350.0,2.7,7665671500.0,0.7470355731225297,3,0
140,2018-03-08,,150.0,1.5,3296542550.0,0.5611814345991561,3,0
140,2015-03-12,,450.0,3.6,9841975550.0,0.823943661971831,3,0
214320,2025-02-18,광고업,950.0,5.1,38000000000.0,0.8298397040690506,2,0
214320,2024-08-06,광고업,225.0,1.0,9000000000.0,0.5135135135135135,8,0
214320,2024-02-27,광고업,950.0,5.4,38000000000.0,0.8556566970091027,2,0
214320,2023-07-31,광고업,450.0,1.2,9000000000.0,0.49019607843137253,7,0
214320,2022-08-08,광고업,450.0,1.0,9000000000.0,0.7428571428571429,8,0
214320,2023-02-27,광고업,1700.0,5.0,34000000000.0,0.9191988950276243,2,0
214320,2022-02-08,광고업,1350.0,2.5,27000000000.0,0.887624466571835,2,0
214320,2021-08-11,광고업,450.0,0.7,9000000000.0,0.8260869565217391,8,0
214320,2020-02-03,광고업,1500.0,2.1,30000000000.0,0.9260869565217391,2,0
214320,2021-02-08,광고업,1800.0,3.0,36000000000.0,0.9341085271317829,2,0
214320,2019-01-28,광고업,1500.0,2.3,30000000000.0,0.835820895522388,1,0
214320,2018-01-26,광고업,1000.0,1.3,20000000000.0,0.8144329896907216,1,0
214320,2017-01-26,광고업,950.0,1.7,19000000000.0,0.7471264367816092,1,0
93050,2025-02-11,,700.0,4.3,19214747300.0,0.7885326757090012,2,0
214320,2016-01-28,광고업,900.0,1.3,18000000000.0,0.7349397590361446,1,0
93050,2024-02-13,,700.0,5.1,19922000000.0,0.8166449934980494,2,0
93050,2023-02-13,,700.0,4.3,19922000000.0,0.8176795580110497,2,0
93050,2022-02-10,,600.0,3.5,17076000000.0,0.7681365576102418,2,0
93050,2020-02-12,,500.0,2.7,14620000000.0,0.7782608695652173,2,0
93050,2021-02-08,,500.0,3.4,14230000000.0,0.7713178294573644,2,0
93050,2019-02-13,,500.0,2.0,14620000000.0,0.7841781874039938,2,0
93050,2018-02-07,,500.0,1.6,14620000000.0,0.7737556561085973,2,0
93050,2017-02-09,,500.0,2.3,14620000000.0,0.7844408427876823,2,0
93050,2015-02-05,,500.0,1.6,14620000000.0,0.7869158878504673,2,0
93050,2016-02-03,,500.0,1.9,14620000000.0,0.7872881355932203,2,0
93050,2014-02-12,,400.0,1.3,11696000000.0,0.7692307692307693,2,0
77500,2025-02-13,,100.0,2.0,2160010200.0,0.26695437731196053,2,0
93050,2013-02-20,,400.0,1.25,11696000000.0,0.7563868613138686,2,0
77500,2024-02-08,,200.0,3.4,4320020400.0,0.5279583875162549,2,0
77500,2023-02-13,,200.0,2.3,5249087200.0,0.5082872928176796,2,0
77500,2022-02-09,,300.0,2.7,7983138300.0,0.6322901849217639,2,0
77500,2021-02-10,,125.0,0.9,3340139000.0,0.43333333333333335,2,0
77500,2019-02-07,,100.0,1.7,2675627000.0,0.3763440860215054,2,0
77500,2020-02-14,,150.0,2.3,3997666800.0,0.4927536231884058,2,0
77500,2018-02-05,,100.0,1.1,2661542700.0,0.3559577677224736,2,0
77500,2017-02-06,,80.0,1.1,2128424560.0,0.31442463533225284,2,0
77500,2016-02-05,,200.0,5.2,5312965000.0,0.5923728813559322,2,0
77500,2015-02-06,,750.0,8.6,10097612250.0,0.8551401869158879,2,0
41930,2025-03-13,,150.0,2.71,2187844950.0,0.4520123839009288,3,0
41930,2024-03-13,,150.0,1.82,2253872250.0,0.4837133550488599,3,0
41930,2023-03-16,,120.0,1.31,1803097800.0,0.42018072289156627,3,0
41930,2022-03-16,,150.0,1.2,2319000000.0,0.49107142857142855,3,0
41930,2021-03-12,,120.0,1.2,1701946080.0,0.4389438943894389,3,0
41930,2020-03-09,,50.0,1.1,732564950.0,0.23122529644268774,3,0
41930,2019-03-12,,50.0,1.26,732564950.0,0.23504273504273504,3,0
41930,2018-03-12,,50.0,1.04,705206150.0,0.23628691983122363,3,0
41930,2017-03-14,,100.0,2.2,1538862000.0,0.39451476793248946,3,0
41930,2014-02-27,,80.0,1.3,1132950300.0,0.32833020637898686,2,0
41930,2016-03-11,,60.0,1.2,948000000.0,0.28502415458937197,3,0
41930,2015-03-10,,80.0,1.5,1255303680.0,0.39436619718309857,3,0
41930,2013-02-14,,60.0,1.7,779408840.0,0.2773722627737226,2,0
72130,2025-04-18,,70.0,1.1,865315710.0,0.2222222222222222,4,0
72130,2025-03-28,,70.0,1.1,865315710.0,0.24148606811145512,3,0
72130,2025-02-07,,40.0,0.6,494466120.0,0.09124537607891492,2,0
72130,2016-03-04,,100.0,1.8,1148298400.0,0.4396135265700483,3,0
72130,2015-02-13,,100.0,1.9,1148298400.0,0.3990654205607477,2,0
72130,2014-02-13,,150.0,4.1,1722447600.0,0.5581613508442776,2,0
267290,2024-02-22,연료용 가스 제조 및 배관공급업,875.0,4.3,5154123625.0,0.8491547464239272,2,0
267290,2025-02-25,연료용 가스 제조 및 배관공급업,875.0,4.8,5154123625.0,0.8236744759556104,2,0
267290,2023-03-06,연료용 가스 제조 및 배관공급업,875.0,3.1,5154123625.0,0.9006024096385542,3,0
267290,2022-02-25,연료용 가스 제조 및 배관공급업,875.0,3.7,5154123625.0,0.8250355618776671,2,0
267290,2021-02-17,연료용 가스 제조 및 배관공급업,875.0,4.6,5154123625.0,0.8496124031007752,2,0
267290,2020-02-20,연료용 가스 제조 및 배관공급업,875.0,4.1,5154123625.0,0.8565217391304348,2,0
267290,2018-02-20,연료용 가스 제조 및 배관공급업,750.0,2.1,3535031250.0,0.8438914027149321,2,0
267290,2019-02-20,연료용 가스 제조 및 배관공급업,875.0,2.6,4124203125.0,0.8663594470046083,2,0
9140,2025-02-19,,350.0,1.7,455887950.0,0.6516646115906288,2,0
9140,2024-02-07,,350.0,1.6,455485450.0,0.6820546163849155,2,0
9140,2022-02-08,,250.0,0.7,325346750.0,0.585348506401138,2,0
9140,2021-02-09,,250.0,1.0,325346750.0,0.6333333333333333,2,0
9140,2023-02-08,,350.0,1.4,455485450.0,0.6588397790055248,2,0
9140,2020-02-06,,250.0,1.2,332578250.0,0.6434782608695652,2,0
9140,2019-02-08,,250.0,1.1,334420500.0,0.642089093701997,2,0
9140,2018-02-06,,250.0,1.2,342921750.0,0.6319758672699849,2,0
9140,2017-02-10,,250.0,1.1,342921750.0,0.6572123176661264,2,0
9140,2016-02-05,,350.0,1.8,480090450.0,0.7237288135593221,2,0
9140,2015-02-13,,350.0,1.8,480090450.0,0.7345794392523365,2,0
9140,2014-02-11,,350.0,2.2,480090450.0,0.7532833020637899,2,0
9140,2013-02-13,,350.0,2.6,480090450.0,0.7354014598540146,2,0
42110,2025-02-28,,35.0,2.45,1691534740.0,0.08323057953144267,2,0
42110,2024-02-29,,30.0,1.7,1449886920.0,0.06241872561768531,2,0
42110,2023-03-03,,35.0,1.89,1691534740.0,0.1355421686746988,3,0
42110,2022-03-02,,30.0,1.69,1449886920.0,0.08482142857142858,3,0
42110,2021-02-26,,20.0,1.2,966591280.0,0.03333333333333333,2,0
42110,2020-02-28,,15.0,1.15,724943460.0,0.021739130434782608,2,0
42110,2018-02-20,,30.0,1.7,1449886920.0,0.08521870286576169,2,0
42110,2019-02-28,,30.0,2.7,1449886920.0,0.09754224270353302,2,0
42110,2017-02-24,,150.0,8.0,7249434600.0,0.5097244732576985,2,0
40420,2025-02-05,,530.0,8.02,7195697600.0,0.749691738594328,2,0
40420,2024-02-06,,530.0,7.23,7195697600.0,0.7737321196358907,2,0
40420,2022-04-06,,530.0,6.67,7195697600.0,0.8920454545454546,4,0
40420,2023-02-08,,530.0,6.9,7195697600.0,0.7672651933701657,2,0
40420,2022-02-08,,530.0,6.67,7195697600.0,0.7453769559032717,2,0
40420,2021-02-10,,430.0,6.39,5701823400.0,0.7364341085271318,2,0
